,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,popular,revolution,revolutionary,movement,list,title,political,people,organization,art,democratic,action,development,program,create
1,federal,law,state,member,government,art,president,matter,council,court,authority,federation,provision,administration,provincial
2,law,art,public,court,establish,council,heinonline_english,provision,translation,nation,national,municipality,official,panama,social
3,people,president,majlis,member,serbia,office,montenegro,law,person,right,state,maldives,court,accordance,commission
4,legislative,body,french,law,assembly,citizen,right,public,year,member,department,council,island,order,administration
5,council,law,cortes,state,th,ministers,government,head,king,folketing,kingdom,accordance,realm,decree,spanish
6,statute,president,poland,sejm,republic,state,right,specify,council,ministers,public,government,day,office,polish
7,turkmenistan,mejlis,law,right,state,туркменистана,статья,на,citizen,president,approve,title,nca,disclaimer,statement
8,rights_reserved,comparative,law,belize,assembly,people,president,public,accordance,minister,general,person,rumania,member,state
9,emperor,council,majesty,legislative,empire,member,assembly,imperial,state,lawful,present,year,aforesaid,minister,person
10,republic,law,state,right,president,court,government,constitutional,citizen,deputy,freedom,local,body,election,procedure
11,national,state,title,government,law,president,list,southern_sudan,legislature,service,commission,sec,level,assembly,accordance
12,president,assembly,court,law,province,provincial,person,office,state,government,member,provision,pakistan,governor,service
13,king,law,royal,kingdom,council,case,year,deputy,state,order,cortes,court,appoint,throne,member
14,parliament,republic,act,jogorku_kenesh,government,president,member,minister,state,law,kyrghyz,prime,council,national,public
15,imperial,empire,reichstag,german,member,statute,bundesrat,emperor,note,federation,far,germany,railroad,land,army
16,person,president,parliament,office,court,commission,member,public,law,service,act,national,government,right,function
17,province,act,title,governor,canada,time,general,provinces,parliament,house,union,council,member,legislative,queen
18,law,art,king,national,government,provision,state,court,minister,act,member,assembly,riksdag,deputy,person
19,latvian_ssr,somali,ch,inter,parliamentary,reproduction,permisson,union_geneva,deputy,democratic,working,people,law,committee,party
20,holland,representatives,province,man,right,previously,way,herewith,completely,van,declare,natural,declaration,people,fellow
21,state,union,region,law,pyithu_hluttaw,president,hluttaw,representative,person,pyidaungsu_hluttaw,myanmar,accord,member,services,chief
22,house,representatives,member,person,state,senate,law,case,president,national,election,provide,assembly,office,paragraph
23,law,republic,state,president,national,public,congress,power,case,executive,court,year,art,right,order
24,federal,confederation,art,cantons,right,tax,person,government,parliament,title,provision,statute,transitory,law,account
25,ecuador,mp,commissions,quito,ecuadoran,registro_oficial,ecuadorians,congress,legislator,manabi,conformance,guayaquil,pichincha,nominating,major
26,state,law,republic,right,people,citizen,supreme,social,council,work,ussr,deputy,assembly,economic,development
27,people,state,national,council,republic,work,law,right,organ,citizen,assembly,committee,socialist,elect,economic
28,national,provincial,member,president,term,act,assembly,province,law,council,government,person,legislation,parliament,refer
29,federal,art,canton,council,right,confederation,law,member,case,cantons,tribunal,authority,union,legislation,citizen
30,state,law,tibetan,national,assembly,member,parliament,court,guinea,provide,accordance,provision,power,general,papua_new
31,state,member,provision,law,council,act,government,matter,court,riksdag,person,provide,election,majesty,office
32,skupshtina,prince,prince_hospodar,state,art,principality,montenegro,montenegrin,minister,princely,communal,control,ukase,commune,tribunal
33,art,law,member,president,chamber,state,council,right,court,government,session,minister,provision,national,case
34,стаття,украінськоі_рср,та,на,до,громадян,іх,за,рср,для,срср,депутатів,держава,праці,про
35,azerbaijan,organization,work,federal,social,community,right,republic,yugoslavia,self,chamber,statute,assembly,political,people
36,law,president,national,state,republic,council,court,member,public,right,government,assembly,constitutional,title,case
37,law,president,power,chamber,state,year,congress,republic,executive,order,exercise,chambers,case,senate,government
38,union,soviet,supreme,soviets,ssr,republics,presidium,member,cec,nationalities,territory,commissioners,question,commissioner,people
39,law,president,congress,power,state,house,case,title,art,executive,office,public,session,government,year
40,court,person,house,state,office,assembly,federation,president,nigeria,law,member,national,provision,government,federal
41,russian,soviet,executive,committee,district,socialist,soviets,central,republic,congress,commissars,toiler,worker,county,art
42,list,title,law,assembly,national,right,court,republic,government,president,case,state,stipulate,member,freedom
43,assembly,national,president,republic,law,state,government,council,right,member,power,vote,session,court,day
44,person,office,member,court,provision,law,act,public,parliament,general,appoint,minister,commission,function,purpose
45,council,rumanian,iraq,representatives,people,region,second,governorate,republic,tajikistan,regulate,law,iraqi,rights_reserved,comparative
46,law,person,member,provision,state,assembly,parliament,office,government,order,court,house,king,council,public
47,paragraph,list,law,federal,president,state,union,republic,court,national,public,accordance,condition,government,district
48,law,republic,court,president,public,person,case,provide,right,paragraph,provision,judge,deputy,member,council
49,law,state,public,right,national,establish,social,person,guarantee,president,accordance,general,function,exercise,service
