,1st_const_year,2nd_const_year,1st_2nd_tfidf,1st_current_tfidf,1st_2nd_lda,1st_current_lda,1st_2nd_use,1st_current_use,1st_2nd_stm,1st_current_stm,constitutional_time,first_regime_time,1st_2nd_tfidf_adj,1st_2nd_lda_adj,1st_2nd_use_adj,1st_2nd_stm_adj,1st_curr_tfidf_adj,1st_curr_lda_adj,1st_curr_use_adj,1st_curr_stm_adj
1st_const_year,1.0,0.8752302378041784,-0.29253288416044915,-0.2919568684232031,-0.045926333692539914,-0.3503370805677316,-0.1412636406951125,-0.3571122516755261,-0.06610842568204846,-0.3593115558176703,-0.9999999999999998,-0.391657625772183,-0.08098335839322206,0.0010494915631419602,-0.09356914483087195,0.04113146947600558,0.4817740485282073,0.6503181225370832,0.35864181064656453,0.6299536978007972
2nd_const_year,0.8752302378041784,1.0,-0.26601905310176893,-0.3058558551867117,0.15094859379007233,-0.2844027399922981,-0.05294263948942481,-0.31199508084013894,0.05156662978747732,-0.36006139993938446,-0.875230237804178,0.13714443615072153,-0.2544504161674841,-0.15369002354503758,-0.21918960818095704,-0.12078192342129619,0.39967928161676564,0.5788795915354508,0.3174428719316985,0.5235630938049687
1st_2nd_tfidf,-0.29253288416044915,-0.26601905310176893,1.0,0.6980439713607202,0.5318697309715603,0.4429094379060539,0.34025112083903436,0.3503562827979065,0.45435725061252136,0.3828294207641653,0.29253288416044915,0.08578286538315384,0.2705236714663884,0.1580770002040548,0.12624174784795975,0.08369555775171637,0.35220063902375165,0.010435418026145497,0.07944718303359835,-0.023196944034820255
1st_current_tfidf,-0.2919568684232031,-0.3058558551867117,0.6980439713607202,1.0,0.38184908946087043,0.6082305256077821,0.3537999127024823,0.4366281633667974,0.3776058584308175,0.5641934202934288,0.29195686842320295,0.007739315014353909,0.2879941471732857,0.2035447084382618,0.19297512613592513,0.1853389341793353,0.5746572463518351,0.1275107586510038,0.1538116941090231,0.11710654021347613
1st_2nd_lda,-0.045926333692539914,0.15094859379007233,0.5318697309715603,0.38184908946087043,1.0,0.5308140095307539,0.5307140133809252,0.3582163386160242,0.726747410291977,0.34097725635152115,0.04592633369253996,0.38530051509752,0.13851008230729667,0.19597147685333208,0.13682812329964125,0.09363307122155022,0.2570016267539382,0.3349453365128787,0.2796953175899138,0.19384286190570532
1st_current_lda,-0.3503370805677316,-0.2844027399922981,0.4429094379060539,0.6082305256077821,0.5308140095307539,1.0,0.2890412138433224,0.4579945071175253,0.4272395935094003,0.767145328686064,0.3503370805677315,0.1686855080355978,0.19056083352526,0.17224429412770614,0.157159458810244,0.1441016875997377,0.21882851614271173,0.3407932256891281,0.15675577746598895,0.22475925794161655
1st_2nd_use,-0.1412636406951125,-0.05294263948942481,0.34025112083903436,0.3537999127024823,0.5307140133809252,0.2890412138433224,1.0,0.7239055757582185,0.46609862478191594,0.22208240387610734,0.14126364069511255,0.18713328124902862,0.2783168992726348,0.288808227489862,0.4250902562922481,0.21280054944231594,0.1619365955979794,0.0920228359093701,0.5561540798658975,0.014307090228510367
1st_current_use,-0.3571122516755261,-0.31199508084013894,0.3503562827979065,0.4366281633667974,0.3582163386160242,0.4579945071175253,0.7239055757582185,1.0,0.29257555204272495,0.4533753704980227,0.35711225167552596,0.1293213093295775,0.22560727698026448,0.21142202912313632,0.36480240588414176,0.12532377158350433,0.0816812555927931,0.01186256877001793,0.6145456136306037,-0.007103646188176772
1st_2nd_stm,-0.06610842568204846,0.05156662978747732,0.45435725061252136,0.3776058584308175,0.726747410291977,0.4272395935094003,0.46609862478191594,0.29257555204272495,1.0,0.5334232091736403,0.06610842568204842,0.2348754582074829,0.19201855076175847,0.23010960106466347,0.15141902433600563,0.2622549756214749,0.20980476555236074,0.19626064295200069,0.14409931667831388,0.2867784399545627
1st_current_stm,-0.3593115558176703,-0.36006139993938446,0.3828294207641653,0.5641934202934288,0.34097725635152115,0.767145328686064,0.22208240387610734,0.4533753704980227,0.5334232091736403,1.0,0.35931155581767016,0.04108253858069241,0.2574772532789034,0.22312202379860022,0.20827657585948997,0.24216972054903738,0.14282012669442432,0.14860911152918516,0.08308869756240536,0.35490757855697946
constitutional_time,-0.9999999999999998,-0.875230237804178,0.29253288416044915,0.29195686842320295,0.04592633369253996,0.3503370805677315,0.14126364069511255,0.35711225167552596,0.06610842568204842,0.35931155581767016,1.0,0.3916576257721823,0.08098335839322189,-0.001049491563142088,0.09356914483087189,-0.04113146947600571,-0.4817740485282075,-0.6503181225370827,-0.3586418106465645,-0.629953697800797
first_regime_time,-0.391657625772183,0.13714443615072153,0.08578286538315384,0.007739315014353909,0.38530051509752,0.1686855080355978,0.18713328124902862,0.1293213093295775,0.2348754582074829,0.04108253858069241,0.3916576257721823,1.0,-0.3251142388414435,-0.29868967110783573,-0.23130591262216843,-0.31727570185762216,-0.21542391429229316,-0.2148124646556044,-0.12194223681601832,-0.279841082774242
1st_2nd_tfidf_adj,-0.08098335839322206,-0.2544504161674841,0.2705236714663884,0.2879941471732857,0.13851008230729667,0.19056083352526,0.2783168992726348,0.22560727698026448,0.19201855076175847,0.2574772532789034,0.08098335839322189,-0.3251142388414435,1.0,0.9611030415109987,0.8629659717752852,0.8865523806583782,0.14811715158367916,0.03730231139592916,0.10093616444238825,0.08795914444160101
1st_2nd_lda_adj,0.0010494915631419602,-0.15369002354503758,0.1580770002040548,0.2035447084382618,0.19597147685333208,0.17224429412770614,0.288808227489862,0.21142202912313632,0.23010960106466347,0.22312202379860022,-0.001049491563142088,-0.29868967110783573,0.9611030415109987,1.0,0.8662126620294156,0.9301936861058406,0.13199099677304546,0.10562598850118866,0.15021129236047254,0.14083100381436228
1st_2nd_use_adj,-0.09356914483087195,-0.21918960818095704,0.12624174784795975,0.19297512613592513,0.13682812329964125,0.157159458810244,0.4250902562922481,0.36480240588414176,0.15141902433600563,0.20827657585948997,0.09356914483087189,-0.23130591262216843,0.8629659717752852,0.8662126620294156,1.0,0.7771358927958836,0.06730380025434345,0.027579119094034103,0.18821013927634175,0.05275884431778031
1st_2nd_stm_adj,0.04113146947600558,-0.12078192342129619,0.08369555775171637,0.1853389341793353,0.09363307122155022,0.1441016875997377,0.21280054944231594,0.12532377158350433,0.2622549756214749,0.24216972054903738,-0.04113146947600571,-0.31727570185762216,0.8865523806583782,0.9301936861058406,0.7771358927958836,1.0,0.1453850773975327,0.11448241126292,0.09105711079932367,0.19565860135903343
1st_curr_tfidf_adj,0.4817740485282073,0.39967928161676564,0.35220063902375165,0.5746572463518351,0.2570016267539382,0.21882851614271173,0.1619365955979794,0.0816812555927931,0.20980476555236074,0.14282012669442432,-0.4817740485282075,-0.21542391429229316,0.14811715158367916,0.13199099677304546,0.06730380025434345,0.1453850773975327,1.0,0.7001416164387201,0.4680869436485233,0.6520748775926996
1st_curr_lda_adj,0.6503181225370832,0.5788795915354508,0.010435418026145497,0.1275107586510038,0.3349453365128787,0.3407932256891281,0.0920228359093701,0.01186256877001793,0.19626064295200069,0.14860911152918516,-0.6503181225370827,-0.2148124646556044,0.03730231139592916,0.10562598850118866,0.027579119094034103,0.11448241126292,0.7001416164387201,1.0,0.5758468269997379,0.8444196877387216
1st_curr_use_adj,0.35864181064656453,0.3174428719316985,0.07944718303359835,0.1538116941090231,0.2796953175899138,0.15675577746598895,0.5561540798658975,0.6145456136306037,0.14409931667831388,0.08308869756240536,-0.3586418106465645,-0.12194223681601832,0.10093616444238825,0.15021129236047254,0.18821013927634175,0.09105711079932367,0.4680869436485233,0.5758468269997379,1.0,0.49046798854360957
1st_curr_stm_adj,0.6299536978007972,0.5235630938049687,-0.023196944034820255,0.11710654021347613,0.19384286190570532,0.22475925794161655,0.014307090228510367,-0.007103646188176772,0.2867784399545627,0.35490757855697946,-0.629953697800797,-0.279841082774242,0.08795914444160101,0.14083100381436228,0.05275884431778031,0.19565860135903343,0.6520748775926996,0.8444196877387216,0.49046798854360957,1.0
